Date,AAPL,AMZN,GOOGL,META,MSFT,TSLA
2023-06-27,185.45999145507812,129.17999267578125,117.28996276855469,284.55120849609375,326.83660888671875,250.2100067138672
2023-06-28,186.633544921875,129.0399932861328,119.12370300292969,282.8065490722656,328.0870361328125,256.239990234375
2023-06-29,186.96885681152344,127.9000015258789,118.0531997680664,279.0792236328125,327.30548095703125,257.5
2023-06-30,191.2882843017578,130.36000061035156,118.64791107177734,284.4818115234375,332.6685791015625,261.7699890136719
2023-07-03,189.79917907714844,130.22000122070312,118.84616088867188,283.5301818847656,330.177490234375,279.82000732421875
2023-07-05,188.684814453125,130.3800048828125,120.67991638183594,291.8074951171875,330.3338623046875,282.4800109863281
2023-07-06,189.15814208984375,128.36000061035156,119.0543212890625,289.4482116699219,333.38177490234375,276.5400085449219
2023-07-07,188.0437774658203,129.77999877929688,118.42985534667969,288.0008850097656,329.42535400390625,274.42999267578125
2023-07-10,186.0023956298828,127.12999725341797,115.42647552490234,291.5398254394531,324.1599426269531,269.6099853515625
2023-07-11,185.47970581054688,128.77999877929688,116.11042785644531,295.693359375,324.7851257324219,269.7900085449219
2023-07-12,187.1463623046875,130.8000030517578,117.88469696044922,306.6471252441406,329.40582275390625,271.989990234375
2023-07-13,187.9057159423828,134.3000030517578,123.44538879394531,310.68170166015625,334.7396240234375,277.8999938964844
2023-07-14,188.05364990234375,134.67999267578125,124.31764221191406,306.1812744140625,337.2599792480469,281.3800048828125
2023-07-17,191.3080291748047,133.55999755859375,123.5544204711914,307.916015625,337.7386779785156,290.3800048828125
2023-07-18,191.05160522460938,132.8300018310547,122.67223358154297,309.3335266113281,351.1805725097656,293.3399963378906
2023-07-19,192.40269470214844,135.36000061035156,120.95744323730469,313.25909423828125,346.8725280761719,291.260009765625
2023-07-20,190.4599151611328,129.9600067138672,118.15231323242188,299.88653564453125,338.852294921875,262.8999938964844
2023-07-21,189.28636169433594,130.0,118.96510314941406,291.69842529296875,335.82391357421875,260.0199890136719
2023-07-24,190.0851593017578,128.8000030517578,120.46184539794922,289.07147216796875,337.1329650878906,269.05999755859375
2023-07-25,190.94308471679688,129.1300048828125,121.13585662841797,291.9065856933594,342.8673400878906,265.2799987792969
2023-07-26,191.81097412109375,128.14999389648438,128.13381958007812,295.970947265625,329.9626159667969,264.3500061035156
2023-07-27,190.5486602783203,128.25,128.2626495361328,308.9964904785156,323.07562255859375,255.7100067138672
2023-07-28,193.12257385253906,132.2100067138672,131.41470336914062,322.6466369628906,330.54876708984375,266.44000244140625
2023-07-31,193.73399353027344,133.67999267578125,131.55349731445312,315.8265380859375,328.1553955078125,267.42999267578125
2023-08-01,192.90562438964844,131.69000244140625,130.39376831054688,319.9007873535156,328.565673828125,261.07000732421875
2023-08-02,189.91749572753906,128.2100067138672,127.25161743164062,311.5738830566406,319.9300231933594,254.11000061035156
2023-08-03,188.5270233154297,128.91000366210938,127.32100677490234,310.4635925292969,319.1094055175781,259.32000732421875
2023-08-04,179.4739227294922,139.57000732421875,126.9840087890625,308.0250549316406,320.20355224609375,253.86000061035156
2023-08-07,176.37734985351562,142.22000122070312,130.37396240234375,313.8043518066406,322.47967529296875,251.4499969482422
2023-08-08,177.31417846679688,139.94000244140625,130.2450714111328,309.9184265136719,318.5135803222656,249.6999969482422
2023-08-09,175.72645568847656,137.85000610351562,128.52037048339844,302.5531311035156,314.78192138671875,242.19000244140625
2023-08-10,175.50949096679688,138.55999755859375,128.55010986328125,303.0784912109375,315.46563720703125,245.33999633789062
2023-08-11,175.5687255859375,138.41000366210938,128.42127990722656,299.0141906738281,313.59002685546875,242.64999389648438
2023-08-14,177.21788024902344,140.57000732421875,130.1757049560547,303.5245361328125,316.54998779296875,239.75999450683594
2023-08-15,175.23297119140625,137.6699981689453,128.63931274414062,299.3215026855469,314.42041015625,232.9600067138672
2023-08-16,174.364013671875,135.07000732421875,127.5688247680664,291.7281494140625,313.65679931640625,225.60000610351562
2023-08-17,171.8260955810547,133.97999572753906,128.77809143066406,282.60833740234375,310.21087646484375,219.22000122070312
2023-08-18,172.3099822998047,133.22000122070312,126.33970642089844,280.7843017578125,309.8193359375,215.49000549316406
2023-08-21,173.64309692382812,134.67999267578125,127.24170684814453,287.37640380859375,315.105712890625,231.27999877929688
2023-08-22,175.01571655273438,134.25,127.94548797607422,285.096435546875,315.67340087890625,233.19000244140625
2023-08-23,178.85711669921875,135.52000427246094,131.20655822753906,291.6785888671875,320.117919921875,236.86000061035156
2023-08-24,174.17637634277344,131.83999633789062,128.63931274414062,284.2537536621094,313.2358093261719,230.0399932861328
2023-08-25,176.37850952148438,133.25999450683594,128.73843383789062,283.01470947265625,316.1825256347656,238.58999633789062
2023-08-28,177.93878173828125,133.13999938964844,129.85848999023438,287.7332458496094,316.8873596191406,238.82000732421875
2023-08-29,181.81964111328125,134.91000366210938,133.38723754882812,295.39599609375,321.4981994628906,257.17999267578125
2023-08-30,185.3055419921875,135.07000732421875,134.6857147216797,292.5311584472656,321.8702392578125,256.8999938964844
2023-08-31,185.52281188964844,138.00999450683594,134.97314453125,293.31427001953125,320.8619079589844,258.0799865722656
2023-09-01,187.09295654296875,138.1199951171875,134.46766662597656,293.79998779296875,321.74298095703125,245.00999450683594
2023-09-05,187.3299560546875,137.27000427246094,134.57667541503906,297.5372009277344,326.5300598144531,256.489990234375
2023-09-06,180.6248016357422,135.36000061035156,133.27818298339844,296.5657043457031,325.8741455078125,251.9199981689453
2023-09-07,175.3416290283203,137.85000610351562,134.07113647460938,296.0700378417969,322.9667053222656,251.49000549316406
2023-09-08,175.953857421875,138.22999572753906,135.1813201904297,295.2968444824219,327.23492431640625,248.5
2023-09-11,177.11915588378906,143.10000610351562,135.716552734375,304.88262939453125,330.82769775390625,273.5799865722656
2023-09-12,174.0973663330078,141.22999572753906,134.1504669189453,299.03399658203125,324.78753662109375,267.4800109863281
2023-09-13,172.0334930419922,144.85000610351562,135.50843811035156,302.4044189453125,328.9872131347656,271.29998779296875
2023-09-14,173.5443878173828,144.72000122070312,136.88619995117188,309.0064697265625,331.5716552734375,276.0400085449219
2023-09-15,172.823486328125,140.38999938964844,136.1923370361328,297.69580078125,323.2701416015625,274.3900146484375
2023-09-18,175.7465057373047,139.97999572753906,136.99526977539062,299.9162292480469,322.134521484375,265.2799987792969
2023-09-19,176.832763671875,137.6300048828125,136.82672119140625,302.41436767578125,321.7331848144531,266.5
2023-09-20,173.2974853515625,135.2899932861328,132.56451416015625,297.06134033203125,314.01898193359375,262.5899963378906
2023-09-21,171.75697326660156,129.3300018310547,129.29351806640625,293.1556396484375,312.8051452636719,255.6999969482422
2023-09-22,172.60621643066406,129.1199951171875,129.10519409179688,296.4764099121094,310.338134765625,244.8800048828125
2023-09-25,173.880126953125,131.27000427246094,129.9576416015625,298.21124267578125,310.85699462890625,246.99000549316406
2023-09-26,169.81161499023438,125.9800033569336,127.43997955322266,296.3575439453125,305.5707092285156,244.1199951171875
2023-09-27,168.3007049560547,125.9800033569336,129.39263916015625,295.14813232421875,306.2070007324219,240.5
2023-09-28,168.55743408203125,125.9800033569336,131.1470947265625,301.31396484375,307.0390625,246.3800048828125
2023-09-29,169.0709686279297,127.12000274658203,129.70982360839844,297.59661865234375,309.1046447753906,250.22000122070312
2023-10-02,171.5792236328125,129.4600067138672,132.99072265625,304.14910888671875,315.02734375,251.60000610351562
2023-10-03,170.24610900878906,124.72000122070312,131.2660369873047,298.3202209472656,306.7943420410156,246.52999877929688
2023-10-04,171.49034118652344,127.0,134.0513458251953,302.91986083984375,312.2471008300781,261.1600036621094
2023-10-05,172.72474670410156,125.95999908447266,133.88284301757812,302.1368103027344,312.638671875,260.04998779296875
2023-10-06,175.27252197265625,127.95999908447266,136.3707733154297,312.68408203125,320.37237548828125,260.5299987792969
2023-10-09,176.7537384033203,128.25999450683594,137.203369140625,315.5886535644531,322.8785705566406,259.6700134277344
2023-10-10,176.16122436523438,129.47999572753906,136.8465576171875,319.038330078125,321.47869873046875,263.6199951171875
2023-10-11,177.55364990234375,131.8300018310547,139.31466674804688,324.9662780761719,325.4238586425781,262.989990234375
2023-10-12,178.45225524902344,132.3300018310547,137.74856567382812,321.3381652832031,324.19036865234375,258.8699951171875
2023-10-13,176.6155242919922,129.7899932861328,136.15269470214844,311.95062255859375,320.8325500488281,251.1199951171875
2023-10-16,176.4871368408203,132.5500030517578,137.87741088867188,318.3543395996094,325.6392517089844,253.9199981689453
2023-10-17,174.9367218017578,131.47000122070312,138.49197387695312,321.1795654296875,325.0714111328125,254.85000610351562
2023-10-18,173.64309692382812,128.1300048828125,136.7474365234375,314.210693359375,323.1624450683594,242.67999267578125
2023-10-19,173.26785278320312,128.39999389648438,136.5392608642578,310.08697509765625,324.34698486328125,220.11000061035156
2023-10-20,170.72012329101562,125.16999816894531,134.40818786621094,305.96319580078125,319.7948913574219,211.99000549316406
2023-10-23,170.83859252929688,126.55999755859375,135.3002471923828,311.2765197753906,322.38909912109375,212.0800018310547
2023-10-24,171.2731170654297,128.55999755859375,137.58995056152344,309.8291931152344,323.5735778808594,216.52000427246094
2023-10-25,168.9623565673828,121.38999938964844,124.5059814453125,296.9225158691406,333.500244140625,212.4199981689453
2023-10-26,164.80494689941406,119.56999969482422,121.20523834228516,285.83984375,320.98919677734375,205.75999450683594
2023-10-27,166.11830139160156,127.73999786376953,121.0962142944336,294.14691162109375,322.8687744140625,207.3000030517578
2023-10-30,168.16246032714844,132.7100067138672,123.3660888671875,300.0252685546875,330.2109069824219,197.36000061035156
2023-10-31,168.636474609375,133.08999633789062,122.98943328857422,298.6474304199219,330.99407958984375,200.83999633789062
2023-11-01,171.79647827148438,137.0,125.3386001586914,309.1353454589844,338.78656005859375,205.66000366210938
2023-11-02,175.3515167236328,138.07000732421875,126.36945343017578,308.1638488769531,340.9892578125,218.50999450683594
2023-11-03,174.4429931640625,138.60000610351562,127.96529388427734,311.8613586425781,345.3748779296875,219.9600067138672
2023-11-06,176.99075317382812,139.74000549316406,129.10519409179688,313.0509338378906,349.0264587402344,219.27000427246094
2023-11-07,179.54840087890625,142.7100067138672,129.81887817382812,316.044677734375,352.94219970703125,222.17999267578125
2023-11-08,180.60504150390625,142.0800018310547,130.6811981201172,316.996337890625,355.5560607910156,222.11000061035156
2023-11-09,180.13101196289062,140.60000610351562,129.0952911376953,317.7595520019531,353.0988464355469,209.97999572753906
2023-11-10,184.31369018554688,143.55999755859375,131.4246368408203,325.90802001953125,361.8898620605469,214.64999389648438
2023-11-13,182.73158264160156,142.58999633789062,130.9290313720703,326.3243408203125,358.9627990722656,223.7100067138672
2023-11-14,185.342041015625,145.8000030517578,132.44558715820312,333.38238525390625,362.47723388671875,237.41000366210938
2023-11-15,185.90565490722656,143.1999969482422,133.43678283691406,329.8137512207031,362.6243591308594,242.83999633789062
2023-11-16,187.5866241455078,142.8300018310547,135.7264862060547,331.28082275390625,369.00048828125,233.58999633789062
2023-11-17,187.56686401367188,145.17999267578125,134.1207275390625,332.1234436035156,362.8009948730469,234.3000030517578
2023-11-20,189.30714416503906,146.1300048828125,135.05247497558594,337.0105285644531,370.24627685546875,235.60000610351562
2023-11-21,188.5062255859375,143.89999389648438,135.76614379882812,334.04656982421875,365.95965576171875,241.1999969482422
2023-11-22,189.16873168945312,146.7100067138672,137.27279663085938,338.5173034667969,370.6484069824219,234.2100067138672
2023-11-24,187.84373474121094,146.74000549316406,135.4886016845703,335.2856750488281,370.23651123046875,235.4499969482422
2023-11-27,187.66574096679688,147.72999572753906,135.21107482910156,331.7864685058594,371.39404296875,236.0800018310547
2023-11-28,188.2689208984375,147.02999877929688,135.99411010742188,336.0390930175781,375.40606689453125,246.72000122070312
2023-11-29,187.25042724609375,146.32000732421875,133.80357360839844,329.3081970214844,371.62939453125,244.13999938964844
2023-11-30,187.82394409179688,146.08999633789062,131.3651580810547,324.3021240234375,371.688232421875,240.0800018310547
2023-12-01,189.09951782226562,147.02999877929688,130.70103454589844,321.9924011230469,367.37213134765625,238.8300018310547
2023-12-04,187.30975341796875,144.83999633789062,128.13381958007812,317.2341613769531,362.1044616699219,235.5800018310547
2023-12-05,191.25511169433594,146.8800048828125,129.83871459960938,315.5192565917969,365.4200134277344,238.72000122070312
2023-12-06,190.1674346923828,144.52000427246094,128.87721252441406,314.68658447265625,361.7709655761719,239.3699951171875
2023-12-07,192.09559631347656,146.8800048828125,135.7264862060547,323.7469482421875,363.8799743652344,242.63999938964844
2023-12-08,193.51947021484375,147.4199981689453,133.80357360839844,329.8533630371094,367.0974426269531,243.83999633789062
2023-12-11,191.0177764892578,145.88999938964844,132.1184844970703,322.4483642578125,364.2232666015625,239.74000549316406
2023-12-12,192.5306396484375,147.47999572753906,131.35525512695312,331.310546875,367.24456787109375,237.00999450683594
2023-12-13,195.74429321289062,148.83999633789062,131.40484619140625,331.8260803222656,367.23486328125,239.2899932861328
2023-12-14,195.89263916015625,147.4199981689453,130.78033447265625,330.26971435546875,358.9556884765625,251.0500030517578
2023-12-15,195.35865783691406,149.97000122070312,131.43450927734375,332.0045166015625,363.6641540527344,253.5
